Tiempo (s);Empuje (N)
3,9759;0,2650
3,9759;0,2783
3,9759;0,2721
4,0155;0,2888
4,0156;0,2853
4,0156;0,2783
4,0156;0,2988
4,0562;0,3080
4,0563;0,2951
4,0563;0,2572
4,0953;0,2991
4,0953;0,2949
4,0954;0,2847
4,1361;0,2848
4,1362;0,3074
4,1362;0,2774
4,1755;0,2980
4,1756;0,2791
4,1756;0,3124
4,2160;0,3005
4,2161;0,2772
4,2161;0,3067
4,2161;0,2837
4,2554;0,2741
4,2554;0,3080
4,2554;0,2830
4,2960;0,2677
4,2961;0,3069
4,2961;0,3076
4,3356;0,2747
4,3357;0,3098
4,3357;0,2988
4,3760;0,3072
4,3761;0,3183
4,3761;0,3177
4,4161;0,2991
4,4161;0,2862
4,4161;0,3353
4,4161;0,2967
4,4552;0,2763
4,4552;0,2960
4,4553;0,3102
4,4955;0,3157
4,4956;0,3105
4,4956;0,3320
4,5353;0,2949
4,5354;0,2945
4,5354;0,2732
4,5761;0,2964
4,5761;0,2792
4,5761;0,2999
4,6159;0,3120
4,6159;0,2688
4,6160;0,3243
4,6160;0,2705
4,6560;0,2962
4,6561;0,2753
4,6561;0,3062
4,6955;0,3056
4,6955;0,3216
4,6956;0,2968
4,7356;0,2820
4,7356;0,2977
4,7356;0,3136
4,7754;0,2944
4,7754;0,2697
4,7754;0,2684
4,8152;0,2907
4,8153;0,2827
4,8153;0,2981
4,8153;0,2961
4,8556;0,3077
4,8556;0,3022
4,8557;0,3305
4,8962;0,2937
4,8962;0,3004
4,8962;0,2840
4,9359;0,2951
4,9359;0,2898
4,9359;0,2982
4,9759;0,2864
4,9759;0,3132
4,9759;0,3209
5,0155;0,3047
5,0156;0,2810
5,0156;0,3152
5,0156;0,3164
5,0555;0,2590
5,0556;0,2992
5,0556;0,3187
5,0955;0,2760
5,0955;0,2824
5,0955;0,3002
5,1355;0,3008
5,1356;0,3260
5,1356;0,2769
5,1755;0,2854
5,1756;0,2711
5,1756;0,2904
5,2162;0,3082
5,2162;0,2983
5,2162;0,2808
5,2162;0,2844
5,2559;0,2787
5,2559;0,2514
5,2560;0,2663
5,2953;0,2963
5,2953;0,3150
5,2953;0,2777
5,3363;0,2759
5,3363;0,2924
5,3364;0,2742
5,3761;0,2843
5,3761;0,2684
5,3761;0,2903
5,4161;0,2996
5,4161;0,2836
5,4161;0,2586
5,4162;0,2698
5,4557;0,3043
5,4557;0,2629
5,4557;0,2509
5,4959;0,2643
5,4960;0,2686
5,4960;0,2420
5,5356;0,2658
5,5356;0,2944
5,5356;0,2602
5,5762;0,2365
5,5762;0,2805
5,5762;0,2749
5,6157;0,2605
5,6157;0,2749
5,6157;0,2953
5,6157;0,2490
5,6561;0,2864
5,6561;0,2867
5,6562;0,2664
5,6962;0,2828
5,6962;0,2769
5,6962;0,2557
5,7356;0,2639
5,7357;0,2786
5,7357;0,2742
5,7755;0,2931
5,7756;0,3077
5,7756;0,2930
5,8153;0,2782
5,8153;0,2673
5,8154;0,2845
5,8154;0,3144
5,8557;0,2593
5,8558;0,2797
5,8558;0,2969
5,8954;0,2777
5,8954;0,2909
5,8955;0,2709
5,9354;0,2706
5,9355;0,2730
5,9355;0,2827
5,9759;0,2878
5,9759;0,2832
5,9759;0,2744
6,0159;0,2746
6,0160;0,2988
6,0160;0,2795
6,0160;0,2697
6,0560;0,3068
6,0560;0,2813
6,0561;0,2834
6,0957;0,2683
6,0957;0,2901
6,0957;0,3187
6,1357;0,3142
6,1357;0,2935
6,1358;0,2978
6,1752;0,2913
6,1753;0,2862
6,1753;0,3043
6,2159;0,3094
6,2159;0,2774
6,2159;0,2949
6,2160;0,2871
6,2557;0,2791
6,2558;0,3271
6,2558;0,2842
6,2958;0,2910
6,2958;0,2816
6,2959;0,2930
6,3353;0,3011
6,3353;0,3060
6,3354;0,2951
6,3758;0,3033
6,3759;0,2769
6,3759;0,3011
6,4153;0,2935
6,4153;0,2819
6,4153;0,2922
6,4154;0,2814
6,4560;0,2838
6,4561;0,3064
6,4561;0,3087
6,4957;0,2959
6,4957;0,2893
6,4957;0,2902
6,5361;0,2980
6,5361;0,3356
6,5361;0,2854
6,5761;0,2941
6,5762;0,3225
6,5762;0,3175
6,6161;0,3210
6,6161;0,2865
6,6161;0,2927
6,6161;0,2756
6,6556;0,2864
6,6556;0,2808
6,6556;0,2764
6,6962;0,2794
6,6962;0,2849
6,6963;0,2941
6,7365;0,2673
6,7365;0,2603
6,7366;0,2693
6,7763;0,2969
6,7763;0,2984
6,7764;0,3175
6,8155;0,3062
6,8155;0,3304
6,8155;0,3124
6,8156;0,3119
6,8559;0,2868
6,8559;0,2940
6,8559;0,3033
6,8953;0,2958
6,8954;0,3030
6,8954;0,2931
6,9360;0,2868
6,9360;0,3126
6,9360;0,3090
6,9759;0,2933
6,9759;0,2990
6,9759;0,2980
7,0154;0,2858
7,0155;0,3040
7,0155;0,2905
7,0155;0,3042
7,0560;0,2648
7,0560;0,2664
7,0561;0,3153
7,0953;0,2895
7,0953;0,3101
7,0953;0,2684
7,1359;0,2770
7,1360;0,2760
7,1360;0,2948
7,1757;0,2960
7,1757;0,3010
7,1757;0,2975
7,2158;0,2628
7,2158;0,2662
7,2158;0,2831
7,2159;0,2783
7,2559;0,2899
7,2560;0,3019
7,2560;0,2785
7,2960;0,2777
7,2961;0,2907
7,2961;0,2824
7,3358;0,2809
7,3358;0,3165
7,3358;0,3065
7,3756;0,3092
7,3756;0,2708
7,3756;0,2801
7,4154;0,2962
7,4155;0,2829
7,4155;0,3016
7,4155;0,2890
7,4561;0,2585
7,4561;0,2860
7,4561;0,2613
7,4961;0,3251
7,4961;0,3000
7,4961;0,2634
7,5361;0,3027
7,5362;0,3159
7,5362;0,2899
7,5759;0,3404
7,5760;0,2876
7,5760;0,2881
7,6152;0,2879
7,6152;0,2732
7,6153;0,2967
7,6153;0,2658
7,6554;0,2912
7,6554;0,2892
7,6554;0,2660
7,6961;0,2695
7,6962;0,2773
7,6962;0,3105
7,7355;0,2980
7,7356;0,2802
7,7356;0,2707
7,7761;0,2982
7,7761;0,2813
7,7761;0,2783
7,8157;0,2662
7,8158;0,2638
7,8158;0,2804
7,8158;0,2573
7,8555;0,2894
7,8556;0,2929
7,8556;0,2853
7,8957;0,2804
7,8957;0,2806
7,8957;0,2919
7,9362;0,2733
7,9362;0,2733
7,9362;0,2561
7,9757;0,2907
7,9757;0,2967
7,9757;0,2845
8,0158;0,2682
8,0159;0,2889
8,0159;0,2607
8,0159;0,2682
8,0575;0,2793
8,0576;0,2696
8,0994;0,2803
8,0994;0,2930
8,0994;0,2693
8,0994;0,2693
8,1414;0,2493
8,1415;0,2745
8,1415;0,2837
8,1415;0,3143
8,1823;0,3151
8,1823;0,2812
8,1823;0,2738
8,2237;0,2643
8,2237;0,2702
8,2238;0,2637
8,2581;0,2763
8,2581;0,3035
8,2581;0,2930
8,2991;0,2867
8,2991;0,2864
8,2991;0,2900
8,3421;0,2677
8,3422;0,2764
8,3422;0,3070
8,3835;0,2877
8,3835;0,2939
8,3836;0,3056
8,4232;0,2899
8,4232;0,3014
8,4232;0,2789
8,4232;0,3102
8,4639;0,3010
8,4639;0,2885
8,4639;0,3407
8,5041;0,2861
8,5042;0,3075
8,5042;0,3053
8,5042;0,2896
8,5448;0,2924
8,5448;0,2961
8,5449;0,2603
8,5769;0,2754
8,6212;0,2852
8,6212;0,2687
8,6212;0,2664
8,6212;0,2414
8,6212;0,2295
8,6635;0,2250
8,6636;0,2229
8,6636;0,2192
8,7035;0,2070
8,7035;0,1898
8,7036;0,2091
8,7036;0,1933
8,7445;0,1707
8,7445;0,1810
8,7802;0,1573
8,7803;0,1652
8,7803;0,1514
8,8152;0,1403
8,8153;0,1313
8,8153;0,1583
8,8153;0,1334
8,8560;0,1346
8,8560;0,1312
8,8561;0,1213
8,8953;0,1369
8,8954;0,1327
8,8954;0,1238
8,9353;0,1306
8,9354;0,1151
8,9354;0,0986
8,9763;0,0954
8,9764;0,0988
8,9764;0,0860
8,9764;0,0950
9,0156;0,1084
9,0157;0,0840
9,0157;0,0866
9,0556;0,0870
9,0556;0,1209
9,0556;0,0973
9,0960;0,0756
9,0960;0,0798
9,0960;0,0782
9,1355;0,0706
9,1355;0,0596
9,1355;0,0844
9,1758;0,0541
9,1758;0,0665
9,1759;0,0768
9,2160;0,0785
9,2160;0,0544
9,2160;0,0520
9,2160;0,0602
9,2553;0,0513
9,2553;0,0471
